PM2.5,PM10,CO,NO2,SO2,O3,year,month,day,hour,minute
33,71,0.756,9,25,80,2018,11,14,10,0
32,69,0.736,9,22,86,2018,11,14,11,0
33,64,0.804,9,26,88,2018,11,14,12,0
35,63,0.75,8,26,88,2018,11,14,13,0
30,69,0.855,8,34,88,2018,11,14,14,0
33,76,0.763,8,37,89,2018,11,14,15,0
37,79,0.768,8,47,77,2018,11,14,16,0
44,82,0.863,8,72,40,2018,11,14,17,0
48,102,0.876,8,56,50,2018,11,14,18,0
40,92,0.994,7,81,22,2018,11,14,19,0
56,112,0.944,8,76,18,2018,11,14,20,0
51,89,0.862,8,38,56,2018,11,14,21,0
50,85,0.934,9,36,58,2018,11,14,22,0
55,85,0.919,9,36,57,2018,11,14,23,0
50,81,0.873,9,32,59,2018,11,15,0,0
46,71,0.839,9,26,65,2018,11,15,1,0
43,59,0.781,10,25,68,2018,11,15,2,0
32,51,0.739,9,24,69,2018,11,15,3,0
30,47,0.743,9,23,64,2018,11,15,4,0
36,50,0.881,8,37,39,2018,11,15,5,0
39,54,0.792,7,34,38,2018,11,15,6,0
44,45,0.706,6,32,41,2018,11,15,7,0
35,29,0.68,6,33,42,2018,11,15,8,0
27,31,0.733,7,37,41,2018,11,15,9,0
23,42,0.616,7,36,28,2018,11,15,13,0
21,29,0.598,7,42,25,2018,11,15,14,0
22,35,0.679,8,51,19,2018,11,15,15,0
22,36,0.694,9,50,20,2018,11,15,16,0
20,36,0.648,8,56,18,2018,11,15,17,0
20,41,0.601,8,38,30,2018,11,15,18,0
18,28,0.524,8,35,34,2018,11,15,19,0
23,29,0.589,11,44,24,2018,11,15,20,0
27,37,0.56,11,38,29,2018,11,15,21,0
20,34,0.53,9,32,32,2018,11,15,22,0
17,24,0.519,7,26,35,2018,11,15,23,0
12,17,0.499,7,21,41,2018,11,16,0,0
13,17,0.486,6,16,48,2018,11,16,1,0
16,17,0.475,7,16,51,2018,11,16,2,0
16,17,0.481,6,14,49,2018,11,16,3,0
18,25,0.488,6,16,44,2018,11,16,4,0
23,24,0.479,6,15,50,2018,11,16,5,0
24,22,0.504,6,25,44,2018,11,16,6,0
20,29,0.561,7,33,39,2018,11,16,7,0
26,22,0.537,7,25,62,2018,11,16,8,0
16,24,0.508,7,25,70,2018,11,16,9,0
14,21,0.542,6,25,74,2018,11,16,10,0
15,29,0.563,7,22,80,2018,11,16,11,0
21,25,0.596,7,19,87,2018,11,16,12,0
22,31,0.615,6,19,84,2018,11,16,13,0
23,29,0.676,6,22,65,2018,11,16,14,0
16,32,0.655,7,20,47,2018,11,16,15,0
19,21,0.652,6,22,35,2018,11,16,16,0
23,28,0.659,6,24,33,2018,11,16,17,0
26,35,0.658,6,28,33,2018,11,16,18,0
28,44,0.651,7,21,42,2018,11,16,19,0
30,39,0.672,8,19,47,2018,11,16,20,0
29,40,0.685,7,18,46,2018,11,16,21,0
31,35,0.678,6,23,42,2018,11,16,22,0
42,36,0.666,9,21,42,2018,11,16,23,0
26,37,0.648,10,18,46,2018,11,17,0,0
26,41,0.548,8,16,48,2018,11,17,1,0
18,28,0.445,6,12,53,2018,11,17,2,0
11,17,0.44,6,15,48,2018,11,17,3,0
8,22,0.471,8,19,38,2018,11,17,4,0
19,25,0.498,8,21,36,2018,11,17,5,0
15,26,0.559,7,27,29,2018,11,17,6,0
8,27,0.58,7,35,19,2018,11,17,7,0
17,38,0.63,8,28,26,2018,11,17,8,0
17,38,0.685,8,26,39,2018,11,17,9,0
15,40,0.587,7,33,34,2018,11,17,10,0
13,40,0.576,7,30,39,2018,11,17,11,0
16,46,0.575,7,31,38,2018,11,17,12,0
15,52,0.543,8,31,39,2018,11,17,13,0
21,47,0.555,8,38,34,2018,11,17,14,0
16,47,0.58,8,42,31,2018,11,17,15,0
28,46,0.569,8,43,35,2018,11,17,16,0
20,59,0.626,7,43,34,2018,11,17,17,0
30,55,0.631,7,43,32,2018,11,17,18,0
20,47,0.624,6,40,31,2018,11,17,19,0
25,43,0.642,6,42,26,2018,11,17,20,0
30,37,0.587,6,37,28,2018,11,17,21,0
26,27,0.587,6,32,28,2018,11,17,22,0
27,27,0.608,6,28,31,2018,11,17,23,0
23,21,0.579,6,24,35,2018,11,18,0,0
22,20,0.507,6,14,54,2018,11,18,1,0
13,9,0.562,5,14,60,2018,11,18,2,0
15,13,0.529,6,16,55,2018,11,18,3,0
18,14,0.504,6,12,56,2018,11,18,4,0
18,13,0.522,6,16,49,2018,11,18,5,0
15,12,0.555,6,20,43,2018,11,18,6,0
24,18,0.508,5,24,45,2018,11,18,7,0
19,18,0.509,5,25,40,2018,11,18,8,0
18,19,0.552,6,37,24,2018,11,18,9,0
15,16,0.626,6,33,26,2018,11,18,10,0
26,19,0.624,6,31,35,2018,11,18,11,0
11,17,0.643,6,33,25,2018,11,18,12,0
20,23,0.644,5,32,29,2018,11,18,13,0
15,25,0.638,6,31,38,2018,11,18,14,0
30,25,0.676,5,34,38,2018,11,18,15,0
23,18,0.665,5,39,34,2018,11,18,16,0
26,20,0.671,5,43,28,2018,11,18,17,0
26,30,0.71,6,52,14,2018,11,18,18,0
30,30,0.748,6,45,24,2018,11,18,19,0
38,38,0.759,5,40,30,2018,11,18,20,0
36,33,0.841,5,41,26,2018,11,18,21,0
41,31,0.713,5,36,26,2018,11,18,22,0
25,26,0.705,6,37,21,2018,11,18,23,0
28,25,0.702,6,23,37,2018,11,19,0,0
34,31,0.716,6,21,40,2018,11,19,1,0
35,33,0.72,6,20,38,2018,11,19,2,0
43,31,0.744,6,22,34,2018,11,19,3,0
48,41,0.793,7,22,32,2018,11,19,4,0
50,42,0.885,7,23,24,2018,11,19,5,0
58,58,1.039,8,27,24,2018,11,19,6,0
65,64,1.385,9,36,18,2018,11,19,7,0
67,77,1.562,10,41,17,2018,11,19,8,0
69,77,1.479,10,35,25,2018,11,19,9,0
73,85,1.495,10,37,27,2018,11,19,10,0
73,92,1.522,10,44,29,2018,11,19,11,0
72,96,1.482,10,44,34,2018,11,19,12,0
75,87,1.484,10,44,42,2018,11,19,13,0
82,96,1.454,10,48,45,2018,11,19,14,0
73,92,1.381,10,52,41,2018,11,19,15,0
71,85,1.691,10,67,22,2018,11,19,16,0
72,100,2.032,10,88,4,2018,11,19,17,0
90,136,1.753,10,82,4,2018,11,19,18,0
64,103,1.661,12,70,4,2018,11,19,19,0
67,95,1.734,11,66,3,2018,11,19,20,0
77,95,1.69,10,64,2,2018,11,19,21,0
77,105,1.61,9,59,2,2018,11,19,22,0
74,99,1.664,9,54,2,2018,11,19,23,0
69,93,1.632,9,50,3,2018,11,20,0,0
64,89,1.46,8,48,3,2018,11,20,1,0
72,75,1.3,7,44,4,2018,11,20,2,0
63,63,1.137,6,47,5,2018,11,20,3,0
56,59,1.048,6,42,12,2018,11,20,4,0
48,63,1.042,6,41,11,2018,11,20,5,0
54,55,1.16,6,42,10,2018,11,20,6,0
50,67,1.368,8,48,5,2018,11,20,7,0
57,67,1.391,10,46,16,2018,11,20,8,0
70,101,1.649,12,46,36,2018,11,20,9,0
103,132,1.291,12,39,96,2018,11,20,12,0
82,106,1.109,11,35,102,2018,11,20,13,0
69,96,0.997,10,28,113,2018,11,20,14,0
62,78,0.955,9,29,111,2018,11,20,15,0
54,84,0.955,9,45,87,2018,11,20,16,0
58,93,1.002,8,50,76,2018,11,20,17,0
54,94,0.988,9,42,76,2018,11,20,18,0
56,94,0.941,10,41,77,2018,11,20,19,0
67,89,0.965,10,46,62,2018,11,20,20,0
64,95,1.055,10,54,43,2018,11,20,21,0
69,90,1.241,9,75,12,2018,11,20,22,0
72,97,1.424,8,75,3,2018,11,20,23,0
75,93,1.305,8,70,4,2018,11,21,0,0
74,98,1.144,8,62,3,2018,11,21,1,0
78,79,1.224,7,58,3,2018,11,21,2,0
74,77,1.224,7,53,4,2018,11,21,3,0
63,67,1.177,6,44,7,2018,11,21,4,0
58,60,1.146,7,53,4,2018,11,21,5,0
58,75,1.247,7,50,3,2018,11,21,6,0
64,74,1.409,8,48,3,2018,11,21,7,0
72,81,0.95,7,42,4,2018,11,21,8,0
60,80,1.039,8,38,10,2018,11,21,9,0
96,129,1.067,6,40,17,2018,11,21,12,0
