hour,PM2.5,PM10,CO,NO2,SO2,O3
0,55.57,79.48,1.10473,35.24,21.14,38.42
1,57.54,79.72,1.09937,33.42,20.73,38.41
2,55.57,77.08,1.0846,32.43,19.57,36.53
3,56.12,76.26,1.0969,32.81,19.82,34.63
4,57.27,79.73,1.10924,34.06,19.39,33.45
5,58.82,81.47,1.16351,35.99,19.97,31.69
6,60.44,85.99,1.19955,37.55,21.32,32.8
7,61.79,90.58,1.21984,34.81,23.29,39.73
8,61.53,93.36,1.19089,32,23,49.32
9,60.48,92.31,1.1749,29.98,23.26,59.29
10,58.17,87.83,1.12413,27.13,21.53,70.38
11,55.75,87.51,1.07663,23.48,20.86,81.32
12,55.7,81.92,1.04286,22.19,20.44,86.01
13,51.85,76.91,1.03009,22.95,20.1,89.01
14,51.01,81.45,0.99235,22.89,20.09,91.18
15,49.46,74.82,1.02263,25.61,21.77,86.81
16,51.14,78.11,1.06759,28.74,24.63,80.07
17,52.83,82.67,1.09022,32.43,26.66,68.8
18,57.15,90.74,1.17095,37.07,27.34,59.09
19,57.98,89.15,1.17416,40.69,25.56,51.99
20,59.56,89.19,1.18251,43.57,25.57,44.49
21,58.55,87.72,1.17476,42.22,24.73,42.89
22,58.72,85.46,1.13099,38.71,24.6,39.98
23,56.49,80.71,1.10405,34.96,22.73,41.24
