时间,PM2.5,PM10,CO,NO2,SO2,O3,zPM2.5,zPM10,zCO,zNO2,zSO2,zO3,风速,压强,降水量,温度,湿度,PM2.5差异,PM10差异,CO差异,NO2差异,SO2差异,O3差异
2018/11/14 10:00,33,71,.756,9,25,80,46.32,92.8,.712,56.36,15.12,53.04,1.188,1020.252,89.8,16.2,61,13.32,21.8,-.044,47.36,-9.88,-26.96
2018/11/14 11:00,32,69,.736,9,22,86,40.82,83.05,.745,46.14,15.27,65,1.282,1019.1,89.8,17.91,54.09,8.82,14.05,.00900000000000001,37.14,-6.73,-21
2018/11/14 12:00,33,64,.804,9,26,88,44.5,89.23,.758,43.5,15.15,69.65,1.258,1018.342,89.8,18,51.81,11.5,25.23,-.046,34.5,-10.85,-18.35
2018/11/14 13:00,35,63,.75,8,26,88,41.41,83.09,.741,45.82,15.05,69.36,.968,1017.227,89.8,17.91,49.27,6.41,20.09,-.00900000000000001,37.82,-10.95,-18.64
2018/11/14 14:00,30,69,.855,8,34,88,50.25,95.75,.754,60.83,15,58.42,1.142,1017.179,89.8,17.54,52.21,20.25,26.75,-.101,52.83,-19,-29.58
2018/11/14 15:00,33,76,.763,8,37,89,49.05,95.14,.714,60.14,15.23,61.86,.845,1017.341,89.8,17,54.68,16.05,19.14,-.049,52.14,-21.77,-27.14
2018/11/14 16:00,37,79,.768,8,47,77,48.97,95.97,.719,68.52,15.29,56.87,.768,1017.587,89.8,16.19,57.35,11.97,16.97,-.049,60.52,-31.71,-20.13
2018/11/14 17:00,44,82,.863,8,72,40,47.93,94.97,.747,78.4,15.6,112.77,.503,1017.92,89.8,15.3,62,3.93,12.97,-.116,70.4,-56.4,72.77
2018/11/14 18:00,48,102,.876,8,56,50,51.11,99.78,.748,93.41,16.15,109.11,.426,1018.141,89.8,15,64.89,3.11,-2.22,-.128,85.41,-39.85,59.11
2018/11/14 19:00,40,92,.994,7,81,22,59.29,107.67,.792,68.33,16.92,108.29,.313,1018.3,89.8,14.13,68.42,19.29,15.67,-.202,61.33,-64.08,86.29
2018/11/14 20:00,56,112,.944,8,76,18,61.45,110.85,.795,64.15,16.8,107.35,.445,1018.43,89.8,14.15,69.65,5.45,-1.15000000000001,-.149,56.15,-59.2,89.35
2018/11/14 21:00,51,89,.862,8,38,56,70,124.58,.768,78.26,16,102.63,.679,1018.732,89.8,14.89,70.89,19,35.58,-.094,70.26,-22,46.63
